date,product_id,product_name,category,order_category,units_sold,price,revenue,stock_level,promotion,day_of_week,month,quarter,year
2023-01-01,PROD_0001,Product 0001,Home & Garden,Home & Garden,245,236.01,57823.56,828,0,Sunday,1,1,2023
2023-01-02,PROD_0001,Product 0001,Home & Garden,Home & Garden,120,305.87,36704.8,511,0,Monday,1,1,2023
2023-01-03,PROD_0001,Product 0001,Home & Garden,Home & Garden,112,19.08,2136.87,496,0,Tuesday,1,1,2023
2023-01-04,PROD_0001,Product 0001,Home & Garden,Home & Garden,136,318.32,43291.96,115,0,Wednesday,1,1,2023
2023-01-05,PROD_0001,Product 0001,Home & Garden,Home & Garden,144,154.37,22228.67,792,0,Thursday,1,1,2023
2023-01-06,PROD_0001,Product 0001,Home & Garden,Home & Garden,108,460.1,49690.91,685,0,Friday,1,1,2023
2023-01-07,PROD_0001,Product 0001,Home & Garden,Home & Garden,155,461.1,71469.92,928,0,Saturday,1,1,2023
2023-01-08,PROD_0001,Product 0001,Home & Garden,Home & Garden,114,361.14,41170.14,681,0,Sunday,1,1,2023
2023-01-09,PROD_0001,Product 0001,Home & Garden,Home & Garden,125,458.53,57315.71,824,0,Monday,1,1,2023
2023-01-10,PROD_0001,Product 0001,Home & Garden,Home & Garden,124,96.17,11924.75,399,0,Tuesday,1,1,2023
2023-01-11,PROD_0001,Product 0001,Home & Garden,Home & Garden,77,327.63,25227.63,697,0,Wednesday,1,1,2023
2023-01-12,PROD_0001,Product 0001,Home & Garden,Home & Garden,169,153.14,25880.25,341,0,Thursday,1,1,2023
2023-01-13,PROD_0001,Product 0001,Home & Garden,Home & Garden,66,396.66,26179.82,619,0,Friday,1,1,2023
2023-01-14,PROD_0001,Product 0001,Home & Garden,Home & Garden,167,47.17,7878.04,883,0,Saturday,1,1,2023
2023-01-15,PROD_0001,Product 0001,Home & Garden,Home & Garden,127,82.09,10425.76,105,0,Sunday,1,1,2023
2023-01-16,PROD_0001,Product 0001,Home & Garden,Home & Garden,128,381.32,48809.51,603,0,Monday,1,1,2023
2023-01-17,PROD_0001,Product 0001,Home & Garden,Home & Garden,98,48.92,4793.79,907,0,Tuesday,1,1,2023
2023-01-18,PROD_0001,Product 0001,Home & Garden,Home & Garden,102,88.39,9016.03,801,0,Wednesday,1,1,2023
2023-01-19,PROD_0001,Product 0001,Home & Garden,Home & Garden,122,271.45,33117.01,580,0,Thursday,1,1,2023
2023-01-20,PROD_0001,Product 0001,Home & Garden,Home & Garden,132,204.73,27023.83,655,0,Friday,1,1,2023
2023-01-21,PROD_0001,Product 0001,Home & Garden,Home & Garden,141,50.52,7123.15,93,0,Saturday,1,1,2023
2023-01-22,PROD_0001,Product 0001,Home & Garden,Home & Garden,125,352.96,44119.97,217,0,Sunday,1,1,2023
2023-01-23,PROD_0001,Product 0001,Home & Garden,Home & Garden,103,244.81,25215.44,761,0,Monday,1,1,2023
2023-01-24,PROD_0001,Product 0001,Home & Garden,Home & Garden,146,291.99,42630.04,222,0,Tuesday,1,1,2023
2023-01-25,PROD_0001,Product 0001,Home & Garden,Home & Garden,118,284.39,33557.67,15,0,Wednesday,1,1,2023
